No,Business Name,Category,Address,Phone,Website,Rating,Reviews,Google Maps URL,Search Query
1,"Saigon Office - Cho thuê văn phòng tại TPHCM","Office space rental agency","1 Trần Khánh Dư, Tân Định, Hồ Chí Minh 700000, Vietnam",+84 908 600 359,https://saigonoffice.com.vn/,4.9,125,"https://www.google.com/maps/search/?api=1&query=Saigon%20Office%20-%20Cho%20thu%C3%AA%20v%C4%83n%20ph%C3%B2ng%20t%E1%BA%A1i%20TPHCM&query_place_id=ChIJA2Z9-RcvdTERe-rK9y8Q3uo","offices Ho Chi Minh City Vietnam"
2,"G Office Chi nhánh Saigon Trade Center","Office space rental agency","37 Tôn Đức Thắng, Sài Gòn, Hồ Chí Minh 700000, Vietnam",+84 28 2220 0919,https://goffice.vn/,4.9,97,"https://www.google.com/maps/search/?api=1&query=G%20Office%20Chi%20nh%C3%A1nh%20Saigon%20Trade%20Center&query_place_id=ChIJ2Qh26UovdTERfhQEOT34xCE","offices Ho Chi Minh City Vietnam"
3,"Văn phòng trọn gói quận Tân Bình - Office Saigon","Office space rental agency","18e Cộng Hòa, Tân Sơn Nhất, Hồ Chí Minh, Vietnam",+84 987 110 011,https://www.officesaigon.vn/van-phong-tron-goi-quan-tan-binh.html,4.9,18,"https://www.google.com/maps/search/?api=1&query=V%C4%83n%20ph%C3%B2ng%20tr%E1%BB%8Dn%20g%C3%B3i%20qu%E1%BA%ADn%20T%C3%A2n%20B%C3%ACnh%20-%20Office%20Saigon&query_place_id=ChIJPWYT9pQvdTERw-aca_LRfGM","offices Ho Chi Minh City Vietnam"
4,"Office Saigon - Văn phòng trọn gói quận 1","Office space rental agency","29 Lê Duẩn, Sài Gòn, Hồ Chí Minh, Vietnam",+84 987 110 011,https://www.officesaigon.vn/,5,23,"https://www.google.com/maps/search/?api=1&query=Office%20Saigon%20-%20V%C4%83n%20ph%C3%B2ng%20tr%E1%BB%8Dn%20g%C3%B3i%20qu%E1%BA%ADn%201&query_place_id=ChIJvX-CHocpdTERh-OnQe2Sufk","offices Ho Chi Minh City Vietnam"
5,"Office Saigon - Cho thuê văn phòng tại HCM","Office space rental agency","164 Nguyễn Văn Thương, Thạnh Mỹ Tây, Hồ Chí Minh 700000, Vietnam",+84 987 110 011,https://www.officesaigon.vn/cho-thue-van-phong.html,5,361,"https://www.google.com/maps/search/?api=1&query=Office%20Saigon%20-%20Cho%20thu%C3%AA%20v%C4%83n%20ph%C3%B2ng%20t%E1%BA%A1i%20HCM&query_place_id=ChIJzwLj-ugpdTERs-KajpG3Bv8","offices Ho Chi Minh City Vietnam"
6,"Văn phòng Chi nhánh Tp.HCM - Công ty cổ phần Anh Phát Petro","Corporate office","2 Riverview 6, Sài Gòn, Hồ Chí Minh, Vietnam",,https://anhphatpetro.com.vn/,5,2,"https://www.google.com/maps/search/?api=1&query=V%C4%83n%20ph%C3%B2ng%20Chi%20nh%C3%A1nh%20Tp.HCM%20-%20C%C3%B4ng%20ty%20c%E1%BB%95%20ph%E1%BA%A7n%20Anh%20Ph%C3%A1t%20Petro&query_place_id=ChIJE1XvNwAvdTERXwD3oHxo0RE","offices Ho Chi Minh City Vietnam"
7,"Office for rent in district 3 - Office Saigon","Office space rental agency","147 Hai Bà Trưng, Xuân Hòa, Hồ Chí Minh 700000, Vietnam",+84 938 339 086,https://www.officeforrent.vn/,5,2,"https://www.google.com/maps/search/?api=1&query=Office%20for%20rent%20in%20district%203%20-%20Office%20Saigon&query_place_id=ChIJA_shtncrdTERGh8zwLiNkC8","offices Ho Chi Minh City Vietnam"
8,"LOOKOFFICE - Office Space For Rent District 1 HCMC","Office space rental agency","111a Pasteur, Sài Gòn, Hồ Chí Minh 700000, Vietnam",+84 398 716 459,https://lookoffice.vn/office-for-lease/ho-chi-minh/district-1,5,1,"https://www.google.com/maps/search/?api=1&query=LOOKOFFICE%20-%20Office%20Space%20For%20Rent%20District%201%20HCMC&query_place_id=ChIJcd7JgxcpdTER-LnckFHrMN4","offices Ho Chi Minh City Vietnam"
9,"Office Saigon - Cho thuê văn phòng quận 4","Office space rental agency","9 Đoàn Văn Bơ, Xóm Chiếu, Hồ Chí Minh, Vietnam",+84 987 110 011,https://www.officesaigon.vn/,5,10,"https://www.google.com/maps/search/?api=1&query=Office%20Saigon%20-%20Cho%20thu%C3%AA%20v%C4%83n%20ph%C3%B2ng%20qu%E1%BA%ADn%204&query_place_id=ChIJzU1hM6wpdTERdbYBMR-abtk","offices Ho Chi Minh City Vietnam"
10,"Lim Tower","Office space rental agency","9-11 Tôn Đức Thắng, Sài Gòn, Hồ Chí Minh 700000, Vietnam",+84 987 110 011,https://www.officesaigon.vn/toa-nha-lim-tower.html,4.2,249,"https://www.google.com/maps/search/?api=1&query=Lim%20Tower&query_place_id=ChIJea5vyU4vdTERmlNSbPrGU9o","offices Ho Chi Minh City Vietnam"
11,"Maison Office - Cho thuê văn phòng TP.HCM","Office space rental agency","ACM Building, 96 Cao Thắng, Bàn Cờ, Hồ Chí Minh 700000, Vietnam",+84 988 902 468,https://maisonoffice.vn/,4.2,50,"https://www.google.com/maps/search/?api=1&query=Maison%20Office%20-%20Cho%20thu%C3%AA%20v%C4%83n%20ph%C3%B2ng%20TP.HCM&query_place_id=ChIJNU4T86asNTERVODQC92MG2w","offices Ho Chi Minh City Vietnam"
12,"Office Saigon - Cho thuê văn phòng quận 1","Corporate office","36 Mạc Đĩnh Chi, Tân Định, Hồ Chí Minh 700000, Vietnam",+84 987 110 011,https://www.officesaigon.vn/,5,32,"https://www.google.com/maps/search/?api=1&query=Office%20Saigon%20-%20Cho%20thu%C3%AA%20v%C4%83n%20ph%C3%B2ng%20qu%E1%BA%ADn%201&query_place_id=ChIJm7fcFvgndTERwwzmgifKcKw","offices Ho Chi Minh City Vietnam"
13,"HQ Saigon Tower","Office space rental agency","Saigon Tower, 29 Lê Duẩn, Sài Gòn, Hồ Chí Minh, Vietnam",+84 28 3823 6286,https://www.hq.com/en/vietnam/ho-chi-minh/quan-mot?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,4.6,28,"https://www.google.com/maps/search/?api=1&query=HQ%20Saigon%20Tower&query_place_id=ChIJbYfh7EkvdTERqqrs5qqgT8I","offices Ho Chi Minh City Vietnam"
14,"G Office Chi nhánh Vincom Center","Office space rental agency","72 Lê Thánh Tôn, Sài Gòn, Hồ Chí Minh 700000, Vietnam",+84 28 2220 0919,https://goffice.vn/,5,84,"https://www.google.com/maps/search/?api=1&query=G%20Office%20Chi%20nh%C3%A1nh%20Vincom%20Center&query_place_id=ChIJ2dLbLQAvdTEREzR-d7JKhP0","offices Ho Chi Minh City Vietnam"
